Id,Name,Type,isCharged,Power,Energy Boost,Turns,Energy Cost,Stat Mod,Chance
200,Fury Cutter,Bug,0,2,4,1,0,"0,0,0,0,0,0",0
201,Bug Bite,Bug,0,3,3,1,0,"0,0,0,0,0,0",0
202,Bite,Dark,0,4,2,1,0,"0,0,0,0,0,0",0
203,Sucker Punch,Dark,0,8,7,2,0,"0,0,0,0,0,0",0
204,Dragon Breath,Dragon,0,4,3,1,0,"0,0,0,0,0,0",0
205,Thunder Shock,Electric,0,3,9,2,0,"0,0,0,0,0,0",0
206,Spark,Electric,0,5,7,2,0,"0,0,0,0,0,0",0
207,Low Kick,Fighting,0,4,5,2,0,"0,0,0,0,0,0",0
208,Karate Chop,Fighting,0,5,9,2,0,"0,0,0,0,0,0",0
209,Ember,Fire,0,7,6,2,0,"0,0,0,0,0,0",0
210,Wing Attack,Flying,0,5,7,2,0,"0,0,0,0,0,0",0
211,Peck,Flying,0,6,5,2,0,"0,0,0,0,0,0",0
212,Lick,Ghost,0,3,3,1,0,"0,0,0,0,0,0",0
213,Shadow Claw,Ghost,0,6,8,2,0,"0,0,0,0,0,0",0
214,Vine Whip,Grass,0,5,8,2,0,"0,0,0,0,0,0",0
215,Razor Leaf,Grass,0,9,4,2,0,"0,0,0,0,0,0",0
216,Mud Shot,Ground,0,4,8,2,0,"0,0,0,0,0,0",0
217,Ice Shard,Ice,0,9,10,3,0,"0,0,0,0,0,0",0
218,Frost Breath,Ice,0,7,5,2,0,"0,0,0,0,0,0",0
219,Quick Attack,Normal,0,5,8,2,0,"0,0,0,0,0,0",0
220,Scratch,Normal,0,4,2,1,0,"0,0,0,0,0,0",0
221,Tackle,Normal,0,3,3,1,0,"0,0,0,0,0,0",0
222,Pound,Normal,0,4,4,2,0,"0,0,0,0,0,0",0
223,Cut,Normal,0,3,2,1,0,"0,0,0,0,0,0",0
224,Poison Jab,Poison,0,7,7,2,0,"0,0,0,0,0,0",0
225,Acid,Poison,0,6,5,2,0,"0,0,0,0,0,0",0
226,Psycho Cut,Psychic,0,3,9,2,0,"0,0,0,0,0,0",0
227,Rock Throw,Rock,0,8,5,2,0,"0,0,0,0,0,0",0
228,Metal Claw,Steel,0,5,7,2,0,"0,0,0,0,0,0",0
229,Bullet Punch,Steel,0,6,7,2,0,"0,0,0,0,0,0",0
230,Water Gun,Water,0,3,3,1,0,"0,0,0,0,0,0",0
